,T,P,rho,logK,G,H,S,V,Cp
0,0.010000000000047748,1.0001,0.9998288960974043,-8.328072058345269,43552.33579761069,95872.33460398298,191.54070452853227,-11.155499740020247,-1871.1047533673977
1,10.0,1.0001,0.999740231945941,-7.734859975043411,41929.423938795924,80929.56041663233,137.74111432271934,-14.382564560401363,-1189.1632074948336
2,20.0,1.0001,0.9982319488095565,-7.2580180117118545,40734.07079928648,71153.07078406774,103.77028834188224,-16.612560260041846,-799.2068694787673
3,30.0,1.0001,0.9956535446338176,-6.860428870811275,39816.09942691494,64460.29766319599,81.29789965008578,-18.23908620023056,-557.1305569081999
4,40.0,1.0001,0.9922097947083984,-6.519324029490259,39084.526691526175,59738.72467078641,65.96026831200032,-19.47368184837265,-397.5590778577955
5,50.0,1.0001,0.9880295046931049,-6.220101263699809,38481.45540531259,56345.60177710932,55.28518153934141,-20.439476333507656,-287.50464157540887
6,60.0,1.0001,0.9831991067944176,-5.952942209478104,37968.31796213705,53884.64428035449,47.77903755323388,-21.213222231887016,-208.88341757999683
7,70.0,1.0001,0.9777799567610761,-5.7109937246615345,37518.50804248452,52098.796758666635,42.49322092037016,-21.845478592143394,-151.13290807978126
8,80.0,1.0001,0.9718174902074264,-5.489324502515764,37113.16473093722,50814.29040238727,38.800469245622025,-22.371144573070865,-107.76604704361392
9,90.0,1.0001,0.9653461334269473,-5.284295021824707,36738.6317990385,49909.51578123961,36.271909747607026,-22.81533844344648,-74.6324591381807
10,100.0,1.0134,0.9583925873041275,-5.093156575219559,36384.82976331003,49296.768165727146,34.605918384188556,-23.196873629610934,-48.985207514015144
11,110.0,1.4326,0.9509951207392432,-4.9136755675467105,36043.35271660797,48910.6530913217,33.58622058555886,-23.53052874639647,-28.953307845388224
12,120.0,1.985,0.9431551951213307,-4.7442987118665405,35709.204803930596,48702.09982845653,33.051392769088864,-23.82823585114585,-13.234388933736511
13,130.0,2.7004,0.9348828820082673,-4.583717430927047,35378.08939872123,48632.80277256481,32.880995700077676,-24.100183642519113,-0.9054968505424199
14,140.0,3.6121000000000003,0.9261834820831176,-4.430882024168364,35046.75540439319,48672.29657042958,32.982696862342436,-24.355530045069912,8.693704861783146
15,150.0,4.7573,0.9170577449005691,-4.284941424752422,34712.75702632591,48795.735921792686,33.28427020703674,-24.60298586107413,16.035284550901054
16,160.0,6.1768,0.9075019475219679,-4.145199607934927,34374.282425755635,48982.278739939444,33.7279380279964,-24.851335534167873,21.450481920851075
17,170.0,7.914899999999999,0.8975078813540718,-4.011083507812536,34030.02993764449,49213.85396977607,34.26623959104637,-25.109957067989768,25.159359388379187
18,180.0,10.0194,0.8870627359247829,-3.882119238538142,33679.119479956105,49474.167295655236,34.85889409321754,-25.389399467078817,27.287816487886346
19,190.0,12.5418,0.876148871149948,-3.757914401821425,33321.030615036376,49747.837442809716,35.47029444114014,-25.702083630112725,27.874581590515845
20,200.0,15.5366,0.8647433740296775,-3.6381453116161535,32955.56482943706,50019.57610298041,36.06735985667427,-26.063213295471456,26.86887379526206
21,210.0,19.0619,0.8528175064295012,-3.522547487863182,32582.8233770011,50273.32351349853,36.61753115831374,-26.492019757791752,24.11773314655835
22,220.0,23.1786,0.8403357962628226,-3.4109095705254684,32203.206494037062,50491.244183499366,37.08668302160385,-27.013531319258334,19.33971380403375
23,230.0,27.9511,0.8272549015816735,-3.3030694623670906,31817.42709242273,50652.4486550102,37.436711925327074,-27.661167912412452,12.078514734418548
24,240.0,33.44690000000001,0.8135219224477088,-3.198913374452419,31426.54853868205,50731.2463752944,37.62244544334794,-28.480665207350256,1.6242082856703064
25,250.0,39.7366,0.7990720773426533,-3.098377561834939,31032.048280450515,50694.61060148757,37.5873504036698,-29.536188672673916,-13.120808240688177
26,260.0,46.894600000000004,0.7838255001453464,-3.0014532713323683,30635.916252554394,50498.31668577064,37.257170544608186,-30.92016433457306,-33.875098718998345
27,270.0,54.998900000000006,0.7676825076039466,-2.908196575297744,30240.809773434885,50080.77822085004,36.52992449610133,-32.76968296363239,-63.39945225648131
28,280.0,64.13170000000001,0.7505167168681222,-2.8187448179806753,29850.28976430092,49352.74669355154,35.2593635937713,-35.295013938281926,-106.29340913716544
29,290.0,74.3803,0.732164608970814,-2.73334387416402,29469.192431122996,48179.20400066674,33.226088275211794,-38.831647553758074,-170.5906315968274
30,300.0,85.83800000000001,0.7124089820811869,-2.6523940303771107,29104.236600367352,46345.591843572445,30.083948854309597,-43.941041166044585,-271.1889175731624
31,310.0,98.6055,0.6909515012201541,-2.5765298160761074,28765.062784257345,43490.18577775918,25.253164770889384,-51.62024188763294,-437.90272322381327
32,320.0,112.7933,0.6673641567600591,-2.5067670932668524,28466.127714522183,38955.99312328454,17.68713723578037,-63.77980252461046,-736.6142214473759
33,330.0,128.5247,0.6409960476429652,-2.4447978535252908,28230.47343689762,31426.129446136765,5.300366495700814,-84.47223253492157,-1333.7314035571405
34,340.0,145.941,0.6107726945116467,-2.3936530788326063,28098.155591581017,17868.53563501034,-16.681660138513962,-123.61931595408399,-2738.0225465117846
35,350.0,165.2114,0.5746872338860567,-2.359473016407832,28148.64462301694,-10351.576138762757,-61.78120953083351,-211.50158525811926,-7046.420037133292
