name,abbrv,formula,state,ref1,ref2,date,model,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T,azero,neutral_ion_type,dissrxn,tag,formula_ox,category_1,category_2
Cl-,Cl-,Cl-,aq,SH88 [S92],NA,07.Nov.97,HKF,cal,-31379,-39933,13.56,-29.44,17.79,4.032,4.801,5.563,-2.847,-4.4,-5.714,1.456,-1,3,0,,basis,Cl-,inorganic_aq,
acetic-acid,CH3COOH,C2H4O2,aq,Sho95,NA,3/6/1992,HKF,cal,-94760,-116100,42.7,40.56,52.01,11.6198,5.218,2.5088,-2.9946,42.076,-1.5417,-0.15,0,3,0,,basis,C+3 C-3 4H+ 2O-2,organic_aq,
OH-,OH-,OH-,aq,SH88 [S92],NA,06.Nov.97,HKF,cal,-37595,-54977,-2.56,-32.79,-4.18,1.2527,0.0738,1.8423,-2.7821,4.15,-10.346,1.7246,-1,3,0,-1.0000 OH- -1.0000 H+ 1.0000 H2O,,O-2 H+,inorganic_aq,
O2(g),O2,O2,gas,WEP+82 [S92],Kel60 [S92],27.Dec.89,CGL,cal,0,0,49.029,NA,0,7.16,1,-0.4,0,0,0,0,3000,,,-1.0000 O2(g) 1.0000 O2(g),refstate,2O,inorganic_gas,
H2,NA,H2,aq,SHS89 [S92],NA,13.Jul.87,HKF,cal,4236,-1000,13.8,39.9,25.2,5.1427,4.7758,3.8729,-2.9764,27.6251,5.093,-0.209,0,3,-1,-1.0000 H2 -0.5000 O2(g) 1.0000 H2O,aux,2H,inorganic_aq,
O2,NA,O2,aq,SHS89 [S92],NA,26.Jun.87,HKF,cal,3954,-2900,26.04,56,30.38,5.7889,6.3536,3.2528,-3.0417,35.353,8.3726,-0.3943,0,3,-1,-1.0000 O2 1.0000 O2(g),aux,2O,inorganic_aq,
ethane,NA,C2H6,aq,SH90,NA,8/31/1987,HKF,cal,-3886,-24650,26.81,88.3,51.3,8.634,13.3011,0.5205,-3.3288,54.1755,14.9521,-0.406,0,3,0,-1.0000 ethane 1.0000 acetic-acid 1.0000 H2O -1.5000 O2(g),aux,2C-3 6H+,organic_aq,
ethylene,NA,C2H4,aq,PS01,NA,10/4/2000,HKF,cal,19530,8610,28.6,66.92,46,17.69,-5.5,-53.78,3.59,43.98,12.91,-0.31,0,3,0,-1.0000 ethylene -1.0000 H2O 0.5000 O2(g) 1.0000 ethane,,,organic_aq,
ethanol,NA,C2H5OH,aq,PS01,NA,10/4/2000,HKF,cal,-43240,-68770,35.3,62.86,55.1,11.71,6.21,5.98,-3.35,58.8,1.67,-0.12,0,3,0,-1.0000 ethanol -1.0000 O2(g) 1.0000 H2O 1.0000 acetic-acid,,,organic_aq,
acetaldehyde,NA,CH3CHO,aq,SS93,NA,1/14/1993,HKF,cal,-33470,-50380,33,34.9,43.7,7.6203,10.5479,2.1995,-3.215,34.5782,-1.5128,-0.3686,0,4,0,-1.0000 acetaldehyde -0.5000 O2(g) 1.0000 acetic-acid,,,organic_aq,
acetate,CH3COO-,C2H3O2-,aq,Sho95,NA,2/28/1992,HKF,cal,-88270,-116160,20.6,6.2,40.5,7.7525,8.6996,7.5825,-3.1385,26.3,-3.86,1.3182,-1,4,0,-1.0000 acetate -1.0000 H+ 1.0000 acetic-acid,,,organic_aq,
glycolic-acid,NA,C2H4O3,aq,Sho95,NA,6/16/1992,HKF,cal,-126400,-154890,43.1,45.5,51.75,8.7445,12.1496,4.0222,-3.2812,43.6669,-0.4655,-0.3017,0,4,0,-1.0000 glycolic-acid 1.0000 acetic-acid 0.5000 O2(g),aux,C+3 C-1 4H+ 3O-2,organic_aq,
glycolate,NA,C2H3O3-,aq,Sho95,NA,6/17/1992,HKF,cal,-121170,-154700,26.2,6.5,39.85,7.6349,11.057,0.9834,-3.236,26.0463,-4.0271,1.2334,-1,4,0,-1.0000 glycolate -1.0000 H+ 1.0000 glycolic-acid,,,organic_aq,
