Sample,NH3 Oxidation (J/kg) energy supply,NH3 Oxidation (J/kg) limiting reactant
,J/kg fluid,limiting reactant
140724SC,1.2973463094743878,NH3
140724SD,1.074845681436831,NH3
140724SE,0.5357291104315776,NH3
140725SI,0.7645507330557234,NH3
140725SJ,0.9966149785043069,NH3
140725SK,0.21115353124831948,NH3
140725SL,1.331460907339321,NH3
140726SO,0.003392786406985802,NH3
140726SP,0.0033406695625663534,NH3
140726SQ,0.0011698155977165905,NH3
140726SR,0.0046795858999183395,NH3
140727SU,,NH3
140727SV,2.1480631174920056e-05,NH3
140727SW,1.9629293640796507e-05,NH3
140727SX,3.565572020098368e-05,NH3
140727SY,2.4533547508631772e-05,NH3
140727SZ,2.5964583798203208e-05,NH3
140729SD,0.0006865170371006465,NH3
140729SE,0.0007828787423093962,NH3
140730SI,0.8973871973432294,NH3
140730SJ,1.2965644777850922,NH3
140730SK,0.21165519020503015,NH3
140730SL,0.4722765675854955,NH3
140730SN,0.42513919354402346,NH3
140731SP,1.8503089974721144e-05,NH3
140731SQ,2.7227170354645235e-05,NH3
140731SR,2.9450599145099813e-05,NH3
140802SA,0.217835952484457,NH3
140802SB,0.3287150125522684,NH3
140802SC,0.158891757277386,NH3
140803SG,3.092239282872435e-05,NH3
140803SH,5.236647666543934e-05,NH3
140803SI,9.184030684235979e-05,NH3
140803SJ,2.5621261499162596e-05,NH3
140803SO,1.717056714329458e-05,NH3
140803SP,2.9958009295132877e-05,NH3
140804SS,0.003686976512919757,NH3
140804ST,0.014403450371971526,NH3
140804SU,0.02027671696072164,NH3
140804SV,0.000971521725624271,NH3
140805SA,0.9668734446696792,NH3
140805SB,0.3672012490724067,NH3
140805SC,0.9414107515415379,NH3
140805SD,0.8246515382512961,NH3
140805SE,0.19969219578249714,NH3
140805SZ,0.6290910424770376,NH3
210715TA,0.31621277840905265,NH3
210716SE,0.07893464533296284,NH3
210716SG,0.0005390503992034733,NH3
210721TR,4.493638449487478e-05,NH3
210721TS,4.037772695431317,NH3
210722TW,0.0008100083536819265,NH3
210722TX,0.00024261755176395387,NH3
210724TB,,NH3
210724TD,0.12245348960140602,NH3
210725TJ,,O2
210726SX,0.5316242932494212,NH3
210726SY,0.5366535640066651,NH3
210727TT,0.2379391642381494,NH3
210727TU,4.762718106471062e-06,NH3
220721SB,0.0005648559665117571,NH3
220722SE,0.31903151166507115,NH3
220724TP,0.010202053931777375,NH3
220726SR,0.09325739800695616,NH3
220726SS,0.12988076173605986,NH3
220730SF,1.965734947884398,NH3
220730SG,0.00045549161852817603,NH3
220731SN,0.02127740302552959,NH3
190718ZC,0.12245347040207068,NH3
190718ZD,,NH3
190719ZE,,NH3
190719ZF,,NH3
190719ZH,,NH3
190720ZK,,NH3
190720ZL,,NH3
190720ZO,,NH3
190721VQ,,O2
190721VR,,O2
190723VW,,NH3
190723VZ,,NH3
190724VA,,
190725ZG,0.23134745305296137,NH3
190727VP,0.017913439229749174,NH3
190727ZK,0.005604763410057508,NH3
190728VU,,NH3
190728ZQ,1.738220124520276e-06,NH3
190728ZS,7.540763318980228e-06,NH3
190728ZT,3.27871535904248e-05,NH3
190728ZU,,
190728ZV,,NH3
190729VX,0.10037640995050515,NH3
190730VC,0.0015313105556762961,NH3
190730VE,,NH3
190730VF,0.000229167775686574,NH3
190730VG,0.0005031523775242487,NH3
210715SA,9.913326253516397e-05,NH3
210716TG,1.029703357380488,NH3
210724SL,0.16327705263746073,NH3
210724SK,0.1393400820697225,NH3
210722SD,,
210720SY,0.018878288233184964,NH3
210730TA,0.5121848691944876,O2
210718TJ,10.758588807660407,O2
210725SQ,0.02483662605208478,NH3
210725SR,0.005450003028404505,NH3
210725TL,,NH3
